x,sinc
-10.0,-3.89817183252e-17
-9.95,-0.00500448610675
-9.9,-0.00993567316246
-9.85,-0.0146710319087
-9.8,-0.0190916180365
-9.75,-0.0230850337476
-9.7,-0.0265482584949
-9.65,-0.0293902782698
-9.6,-0.0315344470267
-9.55,-0.0329205197152
-9.5,-0.0335063038088
-9.45,-0.0332688850032
-9.4,-0.0322053927081
-9.35,-0.0303332818506
-9.3,-0.0276901190753
-9.25,-0.0243328734097
-9.2,-0.0203367235606
-9.15,-0.0157934059345
-9.1,-0.010809138935
-9.05,-0.00550216980797
-9.0,1.67245177695e-15
-8.95,0.00556364656561
-8.9,0.0110520409335
-8.85,0.0163287756272
-8.8,0.0212611200861
-8.75,0.0257233233188
-8.7,0.0295997824598
-8.65,0.032787998301
-8.6,0.0352012431926
-8.55,0.0367708728982
-8.5,0.037448221904
-8.45,0.0372060311574
-8.4,0.0360393680305
-8.35,0.033966010216
-8.3,0.031026278
-8.25,0.0272823126108
-8.2,0.0228168117997
-8.15,0.0177312471534
-8.1,0.0121436005319
-8.05,0.006185669163
-8.0,-3.5729313644e-15
-7.95,-0.00626347632229
-7.9,-0.0124510334568
-7.85,-0.0184088744332
-7.8,-0.0239869047125
-7.75,-0.0290424618115
-7.7,-0.033443910052
-7.65,-0.0370740111508
-7.6,-0.0398329857179
-7.55,-0.0416411871894
-7.5,-0.0424413181578
-7.45,-0.0422001292993
-7.4,-0.0409095528995
-7.35,-0.0385872360957
-7.3,-0.0352764530685
-7.25,-0.0310453902123
-7.2,-0.0259858134386
-7.15,-0.0202111418602
-7.1,-0.013853966804
-7.05,-0.00706306904427
-7.0,6.1779571035e-15
-6.95,0.00716469593701
-6.9,0.0142555310592
-6.85,0.0210963013578
-6.8,0.0275143906997
-6.75,0.0333450487466
-6.7,0.038435538418
-6.65,0.0426490504216
-6.6,0.0458682865843
-6.55,0.0479986203481
-6.5,0.0489707517206
-6.45,0.0487427850046
-6.4,0.04730167054
-6.35,0.0446639661895
-6.3,0.0408758900635
-6.25,0.0360126526463
-6.2,0.0301770736706
-6.15,0.0234975063903
-6.1,0.016125108903
-6.05,0.00823051847308
-6.0,-9.46284744118e-15
-5.95,-0.00836884651466
-5.9,-0.0166717227641
